,Unnamed: 0,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,RANGE,mid_h_prev,mid_l_prev,ask_h_prev,bid_l_prev,RANGE_prev,DIRECTION,DIRECTION_prev,SIGNAL,ENTRY,STOPLOSS,TAKEPROFIT
560,561,USD_JPY,2020-05-12T09:00:00.000000000Z,10907,107.542,107.558,107.3,107.426,107.548,107.564,107.306,107.432,107.555,107.571,107.313,107.438,0.25799999999999557,107.634,107.364,107.64,107.357,0.269999999999996,-1,1,1,107.667,107.559,107.883
565,566,USD_JPY,2020-05-13T05:00:00.000000000Z,9488,107.164,107.212,106.959,107.046,107.172,107.22,106.966,107.053,107.181,107.227,106.971,107.06,0.2540000000000049,107.269,107.131,107.276,107.123,0.13800000000000523,-1,1,1,107.2898,107.2346,107.4002
571,572,USD_JPY,2020-05-14T05:00:00.000000000Z,9926,106.892,106.897,106.769,106.828,106.898,106.903,106.776,106.836,106.905,106.909,106.784,106.844,0.12700000000000955,106.952,106.845,106.96,106.839,0.10699999999999932,-1,1,1,106.9707,106.9279,107.0563
576,577,USD_JPY,2020-05-15T01:00:00.000000000Z,7099,107.367,107.373,107.181,107.212,107.374,107.38,107.188,107.219,107.381,107.388,107.195,107.226,0.19199999999999307,107.434,107.219,107.442,107.191,0.2150000000000034,-1,1,1,107.4635,107.3775,107.6355
582,583,USD_JPY,2020-05-18T01:00:00.000000000Z,6853,107.189,107.205,107.062,107.124,107.196,107.212,107.069,107.131,107.203,107.22,107.075,107.138,0.14300000000000068,107.286,107.092,107.306,107.056,0.19400000000000261,-1,1,1,107.3254,107.2478,107.48060000000001
606,607,USD_JPY,2020-05-22T01:00:00.000000000Z,8050,107.718,107.718,107.406,107.427,107.725,107.725,107.414,107.434,107.732,107.732,107.422,107.44,0.31099999999999284,107.762,107.582,107.77,107.575,0.18000000000000682,-1,1,1,107.788,107.716,107.932
619,620,USD_JPY,2020-05-26T05:00:00.000000000Z,9159,107.826,107.892,107.72,107.732,107.833,107.899,107.727,107.738,107.84,107.907,107.734,107.744,0.17199999999999704,107.924,107.743,107.931,107.736,0.1810000000000116,-1,1,1,107.9491,107.8767,108.0939
632,633,USD_JPY,2020-05-28T09:00:00.000000000Z,13574,107.815,107.815,107.689,107.755,107.821,107.821,107.696,107.762,107.827,107.827,107.702,107.769,0.125,107.892,107.782,107.899,107.775,0.10999999999999943,-1,1,1,107.91,107.866,107.99799999999999
641,642,USD_JPY,2020-05-31T21:00:00.000000000Z,5919,107.771,107.848,107.639,107.762,107.821,107.856,107.646,107.769,107.871,107.871,107.654,107.776,0.20999999999999375,107.894,107.748,107.904,107.74,0.1460000000000008,-1,1,1,107.9186,107.86019999999999,108.0354
654,655,USD_JPY,2020-06-03T01:00:00.000000000Z,12335,108.694,108.694,108.417,108.509,108.7,108.7,108.424,108.516,108.707,108.707,108.431,108.522,0.27599999999999625,108.852,108.58,108.859,108.572,0.27200000000000557,-1,1,1,108.8862,108.7774,109.1038
662,663,USD_JPY,2020-06-04T09:00:00.000000000Z,21184,109.052,109.069,108.609,108.715,109.059,109.076,108.618,108.722,109.066,109.082,108.627,108.729,0.4579999999999984,109.164,109.006,109.171,109.0,0.15800000000000125,-1,1,1,109.1868,109.12360000000001,109.31320000000001
674,675,USD_JPY,2020-06-08T09:00:00.000000000Z,14110,109.484,109.507,109.192,109.228,109.492,109.514,109.199,109.234,109.499,109.521,109.206,109.241,0.3149999999999977,109.586,109.41,109.594,109.402,0.17600000000000193,-1,1,1,109.6116,109.54119999999999,109.7524
681,682,USD_JPY,2020-06-09T13:00:00.000000000Z,21849,107.909,107.994,107.615,107.709,107.917,108.002,107.622,107.718,107.925,108.009,107.629,107.726,0.37999999999999545,108.248,107.814,108.255,107.807,0.4340000000000117,-1,1,1,108.2984,108.1248,108.64560000000002
684,685,USD_JPY,2020-06-10T01:00:00.000000000Z,7730,107.774,107.785,107.52,107.544,107.782,107.792,107.526,107.55,107.791,107.799,107.532,107.556,0.26600000000000534,107.874,107.713,107.882,107.663,0.16100000000000136,-1,1,1,107.8981,107.8337,108.0269
687,688,USD_JPY,2020-06-10T13:00:00.000000000Z,21567,107.334,107.361,107.156,107.22,107.341,107.368,107.163,107.226,107.348,107.374,107.17,107.233,0.2049999999999983,107.452,107.261,107.46,107.255,0.1910000000000025,-1,1,1,107.47909999999999,107.40269999999998,107.63189999999999
693,694,USD_JPY,2020-06-11T13:00:00.000000000Z,28947,106.853,106.971,106.565,106.669,106.86,106.977,106.573,106.677,106.866,106.984,106.581,106.685,0.4040000000000106,107.139,106.806,107.147,106.798,0.3329999999999984,-1,1,1,107.1803,107.0471,107.4467
695,696,USD_JPY,2020-06-11T21:00:00.000000000Z,9428,106.83,106.843,106.579,106.661,106.88,106.885,106.587,106.669,106.93,106.934,106.595,106.677,0.2980000000000018,106.92,106.676,106.928,106.667,0.24399999999999977,-1,1,1,106.9524,106.8548,107.1476
699,700,USD_JPY,2020-06-12T13:00:00.000000000Z,32708,107.387,107.501,107.211,107.492,107.394,107.508,107.22,107.499,107.401,107.515,107.227,107.506,0.2879999999999967,107.556,107.221,107.563,107.214,0.33499999999999375,1,1,1,107.5965,107.4625,107.8645
728,729,USD_JPY,2020-06-19T09:00:00.000000000Z,13392,106.922,106.97,106.761,106.862,106.929,106.976,106.768,106.869,106.936,106.982,106.775,106.876,0.2079999999999984,107.0,106.793,107.009,106.786,0.20699999999999363,-1,1,1,107.0297,106.94690000000001,107.1953
731,732,USD_JPY,2020-06-21T21:00:00.000000000Z,6506,106.723,106.898,106.723,106.815,106.773,106.906,106.769,106.822,106.823,106.915,106.779,106.83,0.13700000000000045,106.919,106.796,106.969,106.787,0.12299999999999045,1,1,1,106.98129999999999,106.93209999999999,107.07969999999999
753,754,USD_JPY,2020-06-25T13:00:00.000000000Z,17875,107.294,107.321,107.128,107.181,107.3,107.328,107.134,107.188,107.307,107.334,107.141,107.194,0.19400000000000261,107.452,107.17,107.46,107.163,0.2819999999999965,-1,1,1,107.48819999999999,107.3754,107.71379999999999
769,770,USD_JPY,2020-06-30T05:00:00.000000000Z,10410,107.711,107.776,107.634,107.681,107.719,107.782,107.64,107.688,107.727,107.789,107.647,107.694,0.1419999999999959,107.79,107.672,107.797,107.665,0.11800000000000921,-1,1,1,107.80879999999999,107.76159999999999,107.9032
774,775,USD_JPY,2020-07-01T01:00:00.000000000Z,10746,108.082,108.083,107.58,107.652,108.09,108.09,107.589,107.659,108.097,108.098,107.598,107.666,0.5010000000000048,108.165,107.912,108.172,107.878,0.2530000000000001,-1,1,1,108.1973,108.09609999999999,108.3997
787,788,USD_JPY,2020-07-03T05:00:00.000000000Z,6836,107.509,107.529,107.441,107.459,107.517,107.537,107.448,107.465,107.525,107.545,107.454,107.471,0.08900000000001285,107.57,107.472,107.577,107.466,0.09799999999999898,-1,1,1,107.5868,107.5476,107.6652
821,822,USD_JPY,2020-07-12T21:00:00.000000000Z,3830,106.89,106.939,106.833,106.848,106.94,106.946,106.84,106.855,106.99,106.99,106.847,106.862,0.10599999999999454,106.951,106.89,106.958,106.883,0.06099999999999284,-1,1,1,106.9641,106.9397,107.0129
831,832,USD_JPY,2020-07-14T13:00:00.000000000Z,17890,107.348,107.369,107.181,107.191,107.354,107.374,107.188,107.197,107.361,107.381,107.194,107.203,0.18599999999999284,107.434,107.304,107.448,107.298,0.12999999999999545,-1,1,1,107.461,107.409,107.565
849,850,USD_JPY,2020-07-17T13:00:00.000000000Z,11384,107.235,107.259,106.998,107.021,107.242,107.266,107.005,107.028,107.248,107.272,107.012,107.034,0.2610000000000099,107.282,107.119,107.288,107.113,0.1629999999999967,-1,1,1,107.3043,107.2391,107.43469999999999
857,858,USD_JPY,2020-07-20T21:00:00.000000000Z,2669,107.184,107.263,107.101,107.199,107.234,107.276,107.13,107.206,107.284,107.308,107.137,107.213,0.1460000000000008,107.336,107.264,107.343,107.252,0.07200000000000273,-1,1,1,107.3502,107.3214,107.40780000000001
