,time,ticker,mid_o,mid_h,mid_l,mid_c,MA_8,MA_16,MA_32,MA_64,MA_128,MA_256
3604,2023-06-22T00:00:00.000000000Z,EUR_USD,1.09918,1.09922,1.09866,1.09884,1.0933374747474747,1.0933374747474747,1.0933374747474747,1.0933374747474747,1.0933374747474747,1.0933374747474747
3605,2023-06-22T01:00:00.000000000Z,EUR_USD,1.09884,1.09951,1.09871,1.09938,1.0933826262626263,1.0933826262626263,1.0933826262626263,1.0933826262626263,1.0933826262626263,1.0933826262626263
3606,2023-06-22T02:00:00.000000000Z,EUR_USD,1.09936,1.09936,1.09884,1.09934,1.09343101010101,1.09343101010101,1.09343101010101,1.09343101010101,1.09343101010101,1.09343101010101
3607,2023-06-22T03:00:00.000000000Z,EUR_USD,1.09935,1.09946,1.09912,1.0993,1.093482525252525,1.093482525252525,1.093482525252525,1.093482525252525,1.093482525252525,1.093482525252525
3608,2023-06-22T04:00:00.000000000Z,EUR_USD,1.09931,1.0994,1.09866,1.09871,1.0935266666666668,1.0935266666666668,1.0935266666666668,1.0935266666666668,1.0935266666666668,1.0935266666666668
3609,2023-06-22T05:00:00.000000000Z,EUR_USD,1.09874,1.09905,1.09849,1.09858,1.0935765656565657,1.0935765656565657,1.0935765656565657,1.0935765656565657,1.0935765656565657,1.0935765656565657
3610,2023-06-22T06:00:00.000000000Z,EUR_USD,1.09862,1.09906,1.09808,1.09828,1.0936216161616161,1.0936216161616161,1.0936216161616161,1.0936216161616161,1.0936216161616161,1.0936216161616161
3611,2023-06-22T07:00:00.000000000Z,EUR_USD,1.09828,1.10001,1.09798,1.09944,1.0936777777777777,1.0936777777777777,1.0936777777777777,1.0936777777777777,1.0936777777777777,1.0936777777777777
3612,2023-06-22T08:00:00.000000000Z,EUR_USD,1.09944,1.10037,1.09875,1.0993,1.0937315151515152,1.0937315151515152,1.0937315151515152,1.0937315151515152,1.0937315151515152,1.0937315151515152
3613,2023-06-22T09:00:00.000000000Z,EUR_USD,1.0993,1.1004,1.09922,1.1002,1.0937868686868686,1.0937868686868686,1.0937868686868686,1.0937868686868686,1.0937868686868686,1.0937868686868686
3614,2023-06-22T10:00:00.000000000Z,EUR_USD,1.1002,1.10083,1.10004,1.10046,1.093849292929293,1.093849292929293,1.093849292929293,1.093849292929293,1.093849292929293,1.093849292929293
3615,2023-06-22T11:00:00.000000000Z,EUR_USD,1.10046,1.1012,1.0988,1.09892,1.093888383838384,1.093888383838384,1.093888383838384,1.093888383838384,1.093888383838384,1.093888383838384
3616,2023-06-22T12:00:00.000000000Z,EUR_USD,1.0989,1.1002,1.09802,1.09826,1.0939219191919192,1.0939219191919192,1.0939219191919192,1.0939219191919192,1.0939219191919192,1.0939219191919192
